Method,μ_mean,μ_std,μ_2.5%,μ_97.5%,σ²_mean,σ²_std,σ²_2.5%,σ²_97.5%,accept_rate,time_sec
Metropolis-Hastings,-0.0013202328594317302,0.02027804410361214,-0.043275641344846884,0.03556155712105863,0.9771356970427605,0.01031203438143467,0.9587323481494409,0.9931366968161203,0.9101,0.25072336196899414
Gibbs,-0.0012538496672674028,0.001194470267647505,-0.003565681017902184,0.0010955668613333055,0.002961665229411337,9.2571703453976e-05,0.0027839159779082154,0.0031513849290456825,,0.6841468811035156
